station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-02,0,0,4.8,17.3,0.7,25.1,27.8,0.8,1.2,5.7,8.1,10.5,0.2,20.4,15.6,15.1,2.2,7.8,7.2,21.9,0.8,1.2,0,0,0,0.5,0,79.3,1.2,0,-,275.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-02,0,0,4.2,0,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.5,0.4,15,15.9,0,2,9.7,0,0,0,52.2
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-02,0.2,44.8,58.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.7,8.1,0.7,0.2,2.8,0,-,121.3
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-03,0.9,1.9,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-03,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,12.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-03,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.7,0,0,0,0,0,32,0,11.9,28.9,-,76.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-03,1.8,2,0,0,0,0,0,0.6,3.3,26,0.6,10.4,14.1,0,0.6,0,13.9,2.7,2.1,0,0,0,0,11.4,0,0,0,4.8,1.7,0,27.7,123.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-03,1,23.9,5.5,0.1,2.8,3.3,4.7,0,1.3,1,0,0,0,0,10.8,0,3.1,3.1,0.2,13.1,9.9,16.7,18.5,10.8,0.5,8.5,11.7,50,29.8,2.5,-,232.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-03,3.3,3.9,0,36,0,0.4,14.8,3.5,2.7,1,0.3,18,0.4,3.1,0,0.3,0,0,0,0,46,2.7,11.5,1.3,4.7,1,0,0,6.5,8.6,0,170
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-03,1.1,0,25.4,9.5,0,0,0,0.5,2.2,0,8.1,20,0,4.2,0,0,6.6,15.6,3.2,2.6,6.1,0.4,0.5,8.4,5,2.5,4.4,0.1,0,0.6,5.7,132.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-03,9.2,0.3,4.2,17.5,3.3,0.2,17.6,1,13.5,7.1,0,2.1,4.4,10.7,0.9,0,0.1,1,4.1,6.7,3.9,0.7,4.8,14.2,4.2,21,4.5,0,0,14,-,171.2
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-03,4.2,0,0,0,0,0,13.5,9.5,0,3.7,0,0,21.7,29.2,2.5,0,0,0,0.8,9.7,62.2,0.3,0,0,0,0,0,0,47.5,1.5,0.2,206.5
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-03,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,19
