น้ำระเหยถาด(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
42  ,376201-ตาก จ.ตาก,Jun-01,2.9,2.9,3.3,8.3,6.3,6.7,6.6,4.8,3.6,4.4,5.7,5.1,3.7,3.9,4.1,5.4,4.7,5.2,4.1,5.4,3.9,8.1,4.3,2.1,6.7,4.8,2.3,5.3,3.1,4.2,-,4.7
43  ,376201-ตาก จ.ตาก,Jul-01,5.6,4.6,4.3,6.2,2.3,2,2.3,4.1,0.6,2,4.2,5.3,6.5,4,3.9,2.6,3.1,2.2,0.2,3,2,1.5,3.5,6.5,6.9,4.2,3.9,4.8,5.7,6.1,5,3.8
44  ,376201-ตาก จ.ตาก,Aug-01,1.4,3.2,2.8,5.9,3.5,3.7,3,4.1,3.8,5,1.1,2.4,1.9,5.9,4.1,3.6,4.3,5.1,4.5,6.3,14.9,7.5,7.4,7.4,5.4,5.7,4.9,2.8,5.7,6,2.9,4.7
45  ,376201-ตาก จ.ตาก,Sep-01,5.3,4.9,6.5,3.6,6,2.8,7.9,5.3,3.9,5.5,7.9,3.2,4.3,3.8,3.6,6.8,7,6.6,5.2,4.8,3.4,4.6,5.8,3.8,2.9,3.8,3.1,3.9,3,4.4,-,4.8
46  ,376201-ตาก จ.ตาก,Oct-01,1.6,3.9,2.1,6.9,1.8,4.7,3.7,1.4,5.2,1.2,4.8,4.1,1.8,5.6,9,3.2,4.4,3.4,3.1,3.3,3.6,4.2,2.2,-,2.9,1.7,3.3,5.5,5.2,3.3,2.4,3.7
47  ,376201-ตาก จ.ตาก,Nov-01,2,3.2,4,3.7,4.4,3.7,1.7,4.8,2.6,0.9,4.1,2.3,3,1.4,1.3,3.2,3.6,4.1,3.5,3.6,3.1,3.3,3.1,2.8,3.8,2.7,3.1,3,3,3.6,-,3.1
48  ,376201-ตาก จ.ตาก,Dec-01,2.8,1.1,4.6,3.4,2.1,4.3,1.4,3.9,2.3,3,2.6,4,3.3,1.4,2.1,4.6,3.4,4.5,1,2.3,2.7,4,2.8,3.5,2.1,3.7,2.9,3.2,2.9,3.1,2.8,3
49  ,376201-ตาก จ.ตาก,Jan-02,2,2.4,3.1,2.8,2.6,1.4,4,3.3,2.9,2.6,3.8,1.3,4,1.7,3.4,4.1,4,2.6,4.5,4.8,2.8,3.4,3.8,3.8,5.4,5.5,4.6,2.1,1.9,3.8,4.2,3.3
50  ,376201-ตาก จ.ตาก,Feb-02,3.9,3.7,3.9,4.3,5.9,4,5.2,3.4,5,2.5,3.4,3.7,4.3,2.3,3.5,5.3,3.7,5,4.8,5.9,4.8,4.9,5.5,4.7,3.7,6.2,7.5,7.7,-,-,-,4.6
51  ,376201-ตาก จ.ตาก,Mar-02,5.3,5.6,4.3,6.3,6.8,3.7,5.6,1.7,5.8,4.8,4.6,6.2,8.5,13.8,4.5,7.1,6.1,5.2,4.4,4.3,8.2,8.5,0.9,6,8.1,6.9,6.8,6.6,8.7,7.3,7.7,6.1
