ความชื้นสัมพัทธ์(เปอร์เซ็นต์),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
105  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-22,81,81,80,77,82,78,83,83,89,89,89,88,83,85,81,85,80,82,86,79,83,83,83,84,87,87,83,76,76,81,-,83
106  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-22,90,85,89,84,84,85,84,82,85,89,87,81,80,87,75,90,80,75,75,76,80,82,84,81,81,80,81,81,79,77,77,82
107  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-22,76,78,78,77,78,78,74,75,76,77,79,77,78,79,81,81,79,84,83,84,83,80,81,85,85,85,84,81,81,82,-,80
108  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-22,82,81,80,82,81,79,78,79,79,76,77,80,79,76,81,78,76,77,78,79,76,78,76,77,74,74,73,77,75,77,74,78
109  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-23,72,74,74,73,74,70,67,71,73,72,73,72,76,70,70,71,71,72,72,72,72,66,64,66,70,69,70,73,73,68,70,71
110  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-23,71,71,69,67,65,59,57,56,58,59,62,61,60,56,57,65,90,75,66,65,64,64,65,61,64,61,64,63,-,-,-,64
111  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-23,63,62,63,58,59,62,61,60,62,60,58,66,75,67,63,69,60,58,60,57,61,53,49,49,54,54,52,46,42,44,49,58
112  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-23,52,43,43,45,44,45,49,49,43,42,44,46,46,47,46,46,46,47,47,49,50,57,57,46,45,50,57,44,43,43,-,47
113  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-23,51,54,64,64,63,53,45,52,67,60,74,77,85,77,81,77,67,70,62,60,59,57,56,63,62,60,62,62,79,69,69,64
114  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-23,66,67,70,70,71,75,88,79,75,79,87,81,86,89,85,74,73,68,69,74,84,79,82,85,83,84,79,75,81,77,-,78
